,full_name,gender,category,birth_year,winner_age,birth_country,award_year
786,Robert Huber,male,Chemistry,1937.0,51.0,Germany,1988
787,Robert J. Aumann,male,Economic Sciences,1930.0,75.0,Germany,2005
788,Robert J. Lefkowitz,male,Chemistry,1943.0,69.0,USA,2012
789,Robert J. Shiller,male,Economic Sciences,1946.0,67.0,USA,2013
790,Robert Koch,male,Physiology or Medicine,1843.0,62.0,Germany,1905
791,Robert M. Solow,male,Economic Sciences,1924.0,63.0,USA,1987
792,Robert A. Mundell,male,Economic Sciences,1932.0,67.0,Canada,1999
793,Robert S. Mulliken,male,Chemistry,1896.0,70.0,USA,1966
794,John Robert Schrieffer,male,Physics,1931.0,41.0,USA,1972
795,Robert W. Fogel,male,Economic Sciences,1927.0,66.0,USA,1993
796,Robert W. Holley,male,Physiology or Medicine,1922.0,46.0,USA,1968
797,Robert Woodrow Wilson,male,Physics,1936.0,42.0,USA,1978
798,Roderick MacKinnon,male,Chemistry,1956.0,47.0,USA,2003
799,Rodney R. Porter,male,Physiology or Medicine,1917.0,55.0,United Kingdom,1972
800,Roger B. Myerson,male,Economic Sciences,1951.0,56.0,USA,2007
801,Roger D. Kornberg,male,Chemistry,1947.0,59.0,USA,2006
802,Roger Guillemin,male,Physiology or Medicine,1924.0,53.0,France,1977
803,Roger Martin du Gard,male,Literature,1881.0,56.0,France,1937
804,Roger Penrose,male,Physics,1931.0,89.0,United Kingdom,2020
805,Roger W. Sperry,male,Physiology or Medicine,1913.0,68.0,USA,1981
806,Roger Y. Tsien,male,Chemistry,1952.0,56.0,USA,2008
807,Rolf M. Zinkernagel,male,Physiology or Medicine,1944.0,52.0,Switzerland,1996
808,Romain Rolland,male,Literature,1866.0,49.0,France,1915
809,Ronald George Wreyford Norrish,male,Chemistry,1897.0,70.0,United Kingdom,1967
810,Ronald H. Coase,male,Economic Sciences,1910.0,81.0,United Kingdom,1991
811,Ronald Ross,male,Physiology or Medicine,1857.0,45.0,India,1902
812,Rosalyn Yalow,female,Physiology or Medicine,1921.0,56.0,USA,1977
813,Roy J. Glauber,male,Physics,1925.0,80.0,USA,2005
814,Rudolf Christoph Eucken,male,Literature,1846.0,62.0,Germany,1908
815,Rudolf Ludwig Mössbauer,male,Physics,1929.0,32.0,Germany,1961
816,Rudolph A. Marcus,male,Chemistry,1923.0,69.0,Canada,1992
817,Rudyard Kipling,male,Literature,1865.0,42.0,India,1907
818,Russell A. Hulse,male,Physics,1950.0,43.0,USA,1993
819,Ryoji Noyori,male,Chemistry,1938.0,63.0,Japan,2001
820,Saint-John Perse,male,Literature,1887.0,73.0,Guadeloupe Island,1960
821,Salvador E. Luria,male,Physiology or Medicine,1912.0,57.0,Italy,1969
822,Salvatore Quasimodo,male,Literature,1901.0,58.0,Italy,1959
823,Samuel Beckett,male,Literature,1906.0,63.0,Ireland,1969
824,Samuel Chao Chung Ting,male,Physics,1936.0,40.0,USA,1976
825,Santiago Ramón y Cajal,male,Physiology or Medicine,1852.0,54.0,Spain,1906
826,Satoshi Ōmura,male,Physiology or Medicine,1935.0,80.0,Japan,2015
827,Saul Bellow,male,Literature,1915.0,61.0,Canada,1976
828,Saul Perlmutter,male,Physics,1959.0,52.0,USA,2011
829,Seamus Heaney,male,Literature,1939.0,56.0,Northern Ireland,1995
830,Seán MacBride,male,Peace,1904.0,70.0,France,1974
831,Selma Ottilia Lovisa Lagerlöf,female,Literature,1858.0,51.0,Sweden,1909
832,Selman Abraham Waksman,male,Physiology or Medicine,1888.0,64.0,Ukraine,1952
833,Serge Haroche,male,Physics,1944.0,68.0,Morocco,2012
834,Severo Ochoa,male,Physiology or Medicine,1905.0,54.0,Spain,1959
835,Sheldon Lee Glashow,male,Physics,1932.0,47.0,USA,1979
836,Shimon Peres,male,Peace,1923.0,71.0,Belarus,1994
837,Shinya Yamanaka,male,Physiology or Medicine,1962.0,50.0,Japan,2012
838,Shirin Ebadi,female,Peace,1947.0,56.0,Iran,2003
839,Shmuel Yosef Agnon,male,Literature,1888.0,78.0,Ukraine,1966
840,Shuji Nakamura,male,Physics,1954.0,60.0,Japan,2014
841,Sidney Altman,male,Chemistry,1939.0,50.0,Canada,1989
842,Sigrid Undset,female,Literature,1882.0,46.0,Denmark,1928
843,Simon Kuznets,male,Economic Sciences,1901.0,70.0,Belarus,1971
844,Simon van der Meer,male,Physics,1925.0,59.0,the Netherlands,1984
845,Sin-Itiro Tomonaga,male,Physics,1906.0,59.0,Japan,1965
846,Sinclair Lewis,male,Literature,1885.0,45.0,USA,1930
