,full_name,gender,category,birth_year,winner_age,birth_country,award_year
0,A. Michael Spence,male,Economic Sciences,1943.0,58.0,USA,2001
1,Aage Niels Bohr,male,Physics,1922.0,53.0,Denmark,1975
2,Aaron Ciechanover,male,Chemistry,1947.0,57.0,Israel,2004
3,Aaron Klug,male,Chemistry,1926.0,56.0,Lithuania,1982
4,Abdulrazak Gurnah,male,Literature,1948.0,73.0,,2021
5,Abdus Salam,male,Physics,1926.0,53.0,Pakistan,1979
6,Abhijit Banerjee,male,Economic Sciences,1961.0,58.0,India,2019
7,Abiy Ahmed Ali,male,Peace,1976.0,43.0,Ethiopia,2019
8,Ada E. Yonath,female,Chemistry,1939.0,70.0,Israel,2009
9,Adam G. Riess,male,Physics,1969.0,42.0,USA,2011
10,Adolf Friedrich Johann Butenandt,male,Chemistry,1903.0,36.0,Germany,1939
11,Johann Friedrich Wilhelm Adolf von Baeyer,male,Chemistry,1835.0,70.0,Germany,1905
12,Adolf Otto Reinhold Windaus,male,Chemistry,1876.0,52.0,Germany,1928
13,Adolfo Pérez Esquivel,male,Peace,1931.0,49.0,Argentina,1980
14,Ahmed H. Zewail,male,Chemistry,1946.0,53.0,Egypt,1999
15,Akira Suzuki,male,Chemistry,1930.0,80.0,Japan,2010
16,Akira Yoshino,male,Chemistry,1948.0,71.0,Japan,2019
17,Albert Arnold (Al) Gore Jr.,male,Peace,1948.0,59.0,USA,2007
18,Alain Aspect,male,Physics,1947.0,75.0,France,2022
19,Alan J. Heeger,male,Chemistry,1936.0,64.0,USA,2000
20,Alan Lloyd Hodgkin,male,Physiology or Medicine,1914.0,49.0,United Kingdom,1963
21,Alan G. MacDiarmid,male,Chemistry,1927.0,73.0,New Zealand,2000
22,Albert Abraham Michelson,male,Physics,1852.0,55.0,Poland,1907
23,Albert Camus,male,Literature,1913.0,44.0,Algeria,1957
24,Albert Claude,male,Physiology or Medicine,1898.0,76.0,Belgium,1974
25,Albert Einstein,male,Physics,1879.0,42.0,Germany,1921
26,Albert Fert,male,Physics,1938.0,69.0,France,2007
27,Charles Albert Gobat,male,Peace,1843.0,59.0,Switzerland,1902
28,Albert John Lutuli,male,Peace,1898.0,62.0,Zimbabwe,1960
29,Albert Schweitzer,male,Peace,1875.0,77.0,France,1952
30,Albert von Szent-Györgyi Nagyrápolt,male,Physiology or Medicine,1893.0,44.0,Hungary,1937
31,Albrecht Kossel,male,Physiology or Medicine,1853.0,57.0,Germany,1910
32,Aleksandr Mikhailovich Prokhorov,male,Physics,1916.0,48.0,Australia,1964
33,Ales Bialiatski ,male,Peace,1962.0,60.0,Russia,2022
34,Aleksandr Isayevich Solzhenitsyn,male,Literature,1918.0,52.0,Russia,1970
35,Alexei Alexeyevich Abrikosov,male,Physics,1928.0,75.0,Russia,2003
36,Alexis Carrel,male,Physiology or Medicine,1873.0,39.0,France,1912
37,Alfonso García Robles,male,Peace,1911.0,71.0,Mexico,1982
38,Alfred D. Hershey,male,Physiology or Medicine,1908.0,61.0,USA,1969
39,Alfred Hermann Fried,male,Peace,1864.0,47.0,Austria,1911
40,Alfred G. Gilman,male,Physiology or Medicine,1941.0,53.0,USA,1994
41,Alfred Kastler,male,Physics,1902.0,64.0,France,1966
42,Alfred Werner,male,Chemistry,1866.0,47.0,France,1913
43,Alice Munro,female,Literature,1931.0,82.0,Canada,2013
44,Allan M. Cormack,male,Physiology or Medicine,1924.0,55.0,South Africa,1979
45,Allvar Gullstrand,male,Physiology or Medicine,1862.0,49.0,Sweden,1911
46,Charles Louis Alphonse Laveran,male,Physiology or Medicine,1845.0,62.0,France,1907
47,Alva Myrdal,female,Peace,1902.0,80.0,Sweden,1982
48,Alvin E. Roth,male,Economic Sciences,1951.0,61.0,USA,2012
49,Amartya Sen,male,Economic Sciences,1933.0,65.0,India,1998
52,Anatole France,male,Literature,1844.0,77.0,France,1921
53,André Frédéric Cournand,male,Physiology or Medicine,1895.0,61.0,France,1956
54,Andre Geim,male,Physics,1958.0,52.0,Russia,2010
55,André Paul Guillaume Gide,male,Literature,1869.0,78.0,France,1947
56,André Lwoff,male,Physiology or Medicine,1902.0,63.0,France,1965
57,Andrea Ghez,female,Physics,1965.0,55.0,USA,2020
58,Andrei Dmitrievich Sakharov,male,Peace,1921.0,54.0,Russia,1975
59,Andrew Fielding Huxley,male,Physiology or Medicine,1917.0,46.0,United Kingdom,1963
60,Andrew V. Schally,male,Physiology or Medicine,1926.0,51.0,Lithuania,1977
61,Andrew Z. Fire,male,Physiology or Medicine,1959.0,47.0,USA,2006
62,Angus Deaton,male,Economic Sciences,1945.0,70.0,Scotland,2015
63,Annie Ernaux,female,Literature,1940.0,82.0,France,2022
64,Anthony J. Leggett,male,Physics,1938.0,65.0,United Kingdom,2003
65,Anton Zeilinger,male,Physics,1945.0,77.0,Austria,2022
66,Antony Hewish,male,Physics,1924.0,50.0,United Kingdom,1974
67,Mohamed Anwar al-Sadat,male,Peace,1918.0,60.0,Egypt,1978
68,Archer John Porter Martin,male,Chemistry,1910.0,42.0,United Kingdom,1952
69,Archibald Vivian Hill,male,Physiology or Medicine,1886.0,36.0,United Kingdom,1922
70,Ardem Patapoutian,male,Physiology or Medicine,1967.0,54.0,Lebanon,2021
71,Arieh Warshel,male,Chemistry,1940.0,73.0,Israel,2013
72,Aristide Briand,male,Peace,1862.0,64.0,France,1926
73,Arne Wilhelm Kaurin Tiselius,male,Chemistry,1902.0,46.0,Sweden,1948
74,Arno Allan Penzias,male,Physics,1933.0,45.0,Germany,1978
75,Arthur Ashkin,male,Physics,1922.0,96.0,USA,2018
76,Arthur B. McDonald,male,Physics,1943.0,72.0,Canada,2015
77,Arthur Holly Compton,male,Physics,1892.0,35.0,USA,1927
78,Arthur Harden,male,Chemistry,1865.0,64.0,United Kingdom,1929
79,Arthur Henderson,male,Peace,1863.0,71.0,Scotland,1934
80,Arthur Kornberg,male,Physiology or Medicine,1918.0,41.0,USA,1959
81,Arthur Leonard Schawlow,male,Physics,1921.0,60.0,USA,1981
82,Artturi Ilmari Virtanen,male,Chemistry,1895.0,50.0,Finland,1945
83,Arvid Carlsson,male,Physiology or Medicine,1923.0,77.0,Sweden,2000
84,Schack August Steenberg Krogh,male,Physiology or Medicine,1874.0,46.0,Denmark,1920
85,Auguste Marie François Beernaert,male,Peace,1829.0,80.0,Belgium,1909
86,Aung San Suu Kyi,female,Peace,1945.0,46.0,Myanmar,1991
87,Avram Hershko,male,Chemistry,1937.0,67.0,Hungary,2004
88,Aziz Sancar,male,Chemistry,1946.0,69.0,Turkey,2015
89,Barack Hussein Obama,male,Peace,1961.0,48.0,USA,2009
90,Barbara McClintock,female,Physiology or Medicine,1902.0,81.0,USA,1983
91,Barry C. Barish,male,Physics,1936.0,81.0,USA,2017
92,Barry J. Marshall,male,Physiology or Medicine,1951.0,54.0,Australia,2005
93,Baruch S. Blumberg,male,Physiology or Medicine,1925.0,51.0,USA,1976
94,Baruj Benacerraf,male,Physiology or Medicine,1920.0,60.0,Venezuela,1980
95,Ben S. Bernanke,male,Economic Sciences,1953.0,69.0,USA,2022
96,Ben Roy Mottelson,male,Physics,1926.0,49.0,USA,1975
97,Bengt Holmström,male,Economic Sciences,1949.0,67.0,Finland,2016
98,Bengt I. Samuelsson,male,Physiology or Medicine,1934.0,48.0,Sweden,1982
99,Benjamin List,male,Chemistry,1968.0,53.0,Germany,2021
100,Bernard L. Feringa,male,Chemistry,1951.0,65.0,the Netherlands,2016
101,Bernardo Alberto Houssay,male,Physiology or Medicine,1887.0,60.0,Argentina,1947
102,Bert Sakmann,male,Physiology or Medicine,1942.0,49.0,Germany,1991
103,"Baroness Bertha Sophie Felicita von Suttner, née Countess Kinsky von Chinic und Tettau",female,Peace,1843.0,62.0,Czech Republic,1905
104,Bertil Ohlin,male,Economic Sciences,1899.0,78.0,Sweden,1977
105,Bertram N. Brockhouse,male,Physics,1918.0,76.0,Canada,1994
106,Earl (Bertrand Arthur William) Russell,male,Literature,1872.0,78.0,United Kingdom,1950
107,Elizabeth Williams,female,Peace,1943.0,33.0,Northern Ireland,1976
108,Bjørnstjerne Martinus Bjørnson,male,Literature,1832.0,71.0,Norway,1903
109,Bob Dylan,male,Literature,1941.0,75.0,USA,2016
110,Boris Leonidovich Pasternak,male,Literature,1890.0,68.0,Russia,1958
111,Brian David Josephson,male,Physics,1940.0,33.0,United Kingdom,1973
112,Brian K. Kobilka,male,Chemistry,1955.0,57.0,USA,2012
113,Brian P. Schmidt,male,Physics,1967.0,44.0,USA,2011
114,Bruce A. Beutler,male,Physiology or Medicine,1957.0,54.0,USA,2011
115,Robert Bruce Merrifield,male,Chemistry,1921.0,63.0,USA,1984
116,Burton Richter,male,Physics,1931.0,45.0,USA,1976
117,Charles Thomson Rees Wilson,male,Physics,1869.0,58.0,Scotland,1927
118,Camillo Golgi,male,Physiology or Medicine,1843.0,63.0,Italy,1906
119,Camilo José Cela,male,Literature,1916.0,73.0,Spain,1989
120,Carl Bosch,male,Chemistry,1874.0,57.0,Germany,1931
121,Carl Ferdinand Cori,male,Physiology or Medicine,1896.0,51.0,Czech Republic,1947
122,Carl David Anderson,male,Physics,1905.0,31.0,USA,1936
123,Carl Friedrich Georg Spitteler,male,Literature,1845.0,74.0,Switzerland,1919
124,Carl von Ossietzky,male,Peace,1889.0,46.0,Germany,1935
125,Carl E. Wieman,male,Physics,1951.0,50.0,USA,2001
126,Carlo Rubbia,male,Physics,1934.0,50.0,Italy,1984
127,Carlos Filipe Ximenes Belo,male,Peace,1948.0,48.0,East Timor,1996
128,Carlos Saavedra Lamas,male,Peace,1878.0,58.0,Argentina,1936
129,Carol W. Greider,female,Physiology or Medicine,1961.0,48.0,USA,2009
130,Carolyn R. Bertozzi,female,Chemistry,1966.0,56.0,USA,2022
131,Cecil Frank Powell,male,Physics,1903.0,47.0,United Kingdom,1950
133,César Milstein,male,Physiology or Medicine,1927.0,57.0,Argentina,1984
134,Charles Brenton Huggins,male,Physiology or Medicine,1901.0,65.0,Canada,1966
135,Charles Edouard Guillaume,male,Physics,1861.0,59.0,Switzerland,1920
136,Charles Gates Dawes,male,Peace,1865.0,60.0,USA,1925
137,Charles Glover Barkla,male,Physics,1877.0,40.0,United Kingdom,1917
138,Charles Hard Townes,male,Physics,1915.0,49.0,USA,1964
139,Charles J. Pedersen,male,Chemistry,1904.0,83.0,South Korea,1987
140,Charles Kuen Kao,male,Physics,1933.0,76.0,China,2009
141,Charles M. Rice,male,Physiology or Medicine,1952.0,68.0,USA,2020
142,Charles Jules Henri Nicolle,male,Physiology or Medicine,1866.0,62.0,France,1928
143,Charles Robert Richet,male,Physiology or Medicine,1850.0,63.0,France,1913
144,Chen Ning Yang,male,Physics,1922.0,35.0,China,1957
145,Christiaan Eijkman,male,Physiology or Medicine,1858.0,71.0,the Netherlands,1929
146,Christian B. Anfinsen,male,Chemistry,1916.0,56.0,USA,1972
147,Christian de Duve,male,Physiology or Medicine,1917.0,57.0,United Kingdom,1974
148,Christian Lous Lange,male,Peace,1869.0,52.0,Norway,1921
149,Christiane Nüsslein-Volhard,female,Physiology or Medicine,1942.0,53.0,Germany,1995
150,Christopher A. Pissarides,male,Economic Sciences,1948.0,62.0,Cyprus,2010
151,Christopher A. Sims,male,Economic Sciences,1942.0,69.0,USA,2011
152,Claude Cohen-Tannoudji,male,Physics,1933.0,64.0,Algeria,1997
153,Claude Simon,male,Literature,1913.0,72.0,Madagascar,1985
154,Clifford G. Shull,male,Physics,1915.0,79.0,USA,1994
155,Clinton Joseph Davisson,male,Physics,1881.0,56.0,USA,1937
156,Clive W.J. Granger,male,Economic Sciences,1934.0,69.0,United Kingdom,2003
157,Cordell Hull,male,Peace,1871.0,74.0,USA,1945
158,Corneille Jean François Heymans,male,Physiology or Medicine,1892.0,46.0,Belgium,1938
159,Craig C. Mello,male,Physiology or Medicine,1960.0,46.0,USA,2006
160,Czeslaw Milosz,male,Literature,1911.0,69.0,Lithuania,1980
161,D. Carleton Gajdusek,male,Physiology or Medicine,1923.0,53.0,USA,1976
162,Dag Hjalmar Agne Carl Hammarskjöld,male,Peace,1905.0,56.0,Sweden,1961
163,Dale T. Mortensen,male,Economic Sciences,1939.0,71.0,USA,2010
164,Dan Shechtman,male,Chemistry,1941.0,70.0,Israel,2011
165,Daniel Bovet,male,Physiology or Medicine,1907.0,50.0,Switzerland,1957
166,Daniel C. Tsui,male,Physics,1939.0,59.0,China,1998
167,Daniel Kahneman,male,Economic Sciences,1934.0,68.0,Israel,2002
168,Daniel L. McFadden,male,Economic Sciences,1937.0,63.0,USA,2000
169,Daniel Nathans,male,Physiology or Medicine,1928.0,50.0,USA,1978
170,Dario Fo,male,Literature,1926.0,71.0,Italy,1997
171,David Baltimore,male,Physiology or Medicine,1938.0,37.0,USA,1975
172,David Card,male,Economic Sciences,1956.0,65.0,Canada,2021
173,David H. Hubel,male,Physiology or Medicine,1926.0,55.0,Canada,1981
174,David J. Gross,male,Physics,1941.0,63.0,USA,2004
175,David J. Thouless,male,Physics,1934.0,82.0,United Kingdom,2016
176,David J. Wineland,male,Physics,1944.0,68.0,USA,2012
177,David Julius,male,Physiology or Medicine,1955.0,66.0,USA,2021
178,David M. Lee,male,Physics,1931.0,65.0,USA,1996
179,David Trimble,male,Peace,1944.0,54.0,Northern Ireland,1998
180,David W.C. MacMillan,male,Chemistry,1968.0,53.0,United Kingdom,2021
181,Denis Mukwege,male,Peace,1955.0,63.0,Democratic Republic of the Congo,2018
182,Dennis Gabor,male,Physics,1900.0,71.0,Hungary,1971
183,Derek H. R. Barton,male,Chemistry,1918.0,51.0,United Kingdom,1969
184,Derek Walcott,male,Literature,1930.0,62.0,Saint Lucia,1992
185,Desmond Mpilo Tutu,male,Peace,1931.0,53.0,South Africa,1984
186,Dickinson W. Richards,male,Physiology or Medicine,1895.0,61.0,USA,1956
187,Didier Queloz,male,Physics,1966.0,53.0,Switzerland,2019
188,Dmitry Andreyevich Muratov,male,Peace,1961.0,60.0,Russia,2021
190,Donald Arthur Glaser,male,Physics,1926.0,34.0,USA,1960
191,Donald J. Cram,male,Chemistry,1919.0,68.0,USA,1987
192,Donna Strickland,female,Physics,1959.0,59.0,Canada,2018
193,Doris Lessing,female,Literature,1919.0,88.0,Iran,2007
194,Dorothy Crowfoot Hodgkin,female,Chemistry,1910.0,54.0,Egypt,1964
195,Douglas D. Osheroff,male,Physics,1945.0,51.0,USA,1996
196,Douglas W. Diamond,male,Economic Sciences,1953.0,69.0,USA,2022
197,Douglass C. North,male,Economic Sciences,1920.0,73.0,USA,1993
198,Dudley R. Herschbach,male,Chemistry,1932.0,54.0,USA,1986
199,E. Donnall Thomas,male,Physiology or Medicine,1920.0,70.0,USA,1990
200,Edward Mills Purcell,male,Physics,1912.0,40.0,USA,1952
201,"Earl W. Sutherland, Jr.",male,Physiology or Medicine,1915.0,56.0,USA,1971
202,Edgar Douglas Adrian,male,Physiology or Medicine,1889.0,43.0,United Kingdom,1932
203,Edmond H. Fischer,male,Physiology or Medicine,1920.0,72.0,China,1992
204,Edmund S. Phelps,male,Economic Sciences,1933.0,73.0,USA,2006
205,Eduard Buchner,male,Chemistry,1860.0,47.0,Germany,1907
206,Edvard I. Moser,male,Physiology or Medicine,1962.0,52.0,Norway,2014
207,Edward Adelbert Doisy,male,Physiology or Medicine,1893.0,50.0,USA,1943
208,Edward B. Lewis,male,Physiology or Medicine,1918.0,77.0,USA,1995
209,Edward Calvin Kendall,male,Physiology or Medicine,1886.0,64.0,USA,1950
210,Edward C. Prescott,male,Economic Sciences,1940.0,64.0,USA,2004
211,Edward Lawrie Tatum,male,Physiology or Medicine,1909.0,49.0,USA,1958
212,Sir Edward Victor Appleton,male,Physics,1892.0,55.0,United Kingdom,1947
213,Edwin G. Krebs,male,Physiology or Medicine,1918.0,74.0,USA,1992
214,Edwin Mattison McMillan,male,Chemistry,1907.0,44.0,USA,1951
215,António Caetano de Abreu Freire Egas Moniz,male,Physiology or Medicine,1874.0,75.0,Portugal,1949
216,Ei-ichi Negishi,male,Chemistry,1935.0,75.0,China,2010
217,Eisaku Sato,male,Peace,1901.0,73.0,Japan,1974
218,Elfriede Jelinek,female,Literature,1946.0,58.0,Austria,2004
219,Elias Canetti,male,Literature,1905.0,76.0,Bulgaria,1981
220,Elias James Corey,male,Chemistry,1928.0,62.0,USA,1990
221,Élie Ducommun,male,Peace,1833.0,69.0,Switzerland,1902
222,Elie Wiesel,male,Peace,1928.0,58.0,Romania,1986
223,Elihu Root,male,Peace,1845.0,67.0,USA,1912
224,Elinor Ostrom,female,Economic Sciences,1933.0,76.0,USA,2009
225,Elizabeth H. Blackburn,female,Physiology or Medicine,1948.0,61.0,Australia,2009
226,Ellen Johnson Sirleaf,female,Peace,1938.0,73.0,Liberia,2011
227,Hermann Emil Fischer,male,Chemistry,1852.0,50.0,Germany,1902
228,Emil Adolf von Behring,male,Physiology or Medicine,1854.0,47.0,Poland,1901
229,Emilio Gino Segrè,male,Physics,1905.0,54.0,Italy,1959
230,Emily Greene Balch,female,Peace,1867.0,79.0,USA,1946
231,Emmanuelle Charpentier,female,Chemistry,1968.0,52.0,France,2020
232,Enrico Fermi,male,Physics,1901.0,37.0,Italy,1938
233,Eric Betzig,male,Chemistry,1960.0,54.0,USA,2014
234,Eric A. Cornell,male,Physics,1961.0,40.0,USA,2001
235,Eric F. Wieschaus,male,Physiology or Medicine,1947.0,48.0,USA,1995
236,Eric R. Kandel,male,Physiology or Medicine,1929.0,71.0,Austria,2000
237,Eric S. Maskin,male,Economic Sciences,1950.0,57.0,USA,2007
238,Erik Axel Karlfeldt,male,Literature,1864.0,67.0,Sweden,1931
239,Ernest Miller Hemingway,male,Literature,1899.0,55.0,USA,1954
240,Ernest Orlando Lawrence,male,Physics,1901.0,38.0,USA,1939
241,Ernest Rutherford,male,Chemistry,1871.0,37.0,New Zealand,1908
242,Ernest Thomas Sinton Walton,male,Physics,1903.0,48.0,Ireland,1951
243,Ernesto Teodoro Moneta,male,Peace,1833.0,74.0,Italy,1907
244,Ernst Boris Chain,male,Physiology or Medicine,1906.0,39.0,Germany,1945
245,Ernst Otto Fischer,male,Chemistry,1918.0,55.0,Germany,1973
246,Ernst Ruska,male,Physics,1906.0,80.0,Germany,1986
247,Erwin Neher,male,Physiology or Medicine,1944.0,47.0,Germany,1991
248,Erwin Schrödinger,male,Physics,1887.0,46.0,Austria,1933
249,Esther Duflo,female,Economic Sciences,1972.0,47.0,France,2019
250,Eugene F. Fama,male,Economic Sciences,1939.0,74.0,USA,2013
251,Eugene Gladstone O'Neill,male,Literature,1888.0,48.0,USA,1936
252,Eugene Paul Wigner,male,Physics,1902.0,61.0,Hungary,1963
253,Eugenio Montale,male,Literature,1896.0,79.0,Italy,1975
255,Eyvind Johnson,male,Literature,1900.0,74.0,Sweden,1974
256,F. Duncan M. Haldane,male,Physics,1951.0,65.0,United Kingdom,2016
257,F. Sherwood Rowland,male,Chemistry,1927.0,68.0,USA,1995
258,Frederik Willem de Klerk,male,Peace,1936.0,57.0,South Africa,1993
259,Felix Bloch,male,Physics,1905.0,47.0,Switzerland,1952
260,Feodor Lynen,male,Physiology or Medicine,1911.0,53.0,Germany,1964
261,Karl Ferdinand Braun,male,Physics,1850.0,59.0,Germany,1909
262,Ferdinand Buisson,male,Peace,1841.0,86.0,France,1927
263,Ferid Murad,male,Physiology or Medicine,1936.0,62.0,USA,1998
264,Finn E. Kydland,male,Economic Sciences,1943.0,61.0,Norway,2004
265,Frances H. Arnold,female,Chemistry,1956.0,62.0,USA,2018
266,Francis Harry Compton Crick,male,Physiology or Medicine,1916.0,46.0,United Kingdom,1962
267,Francis William Aston,male,Chemistry,1877.0,45.0,United Kingdom,1922
268,Franco Modigliani,male,Economic Sciences,1918.0,67.0,Italy,1985
269,François Englert,male,Physics,1932.0,81.0,Belgium,2013
270,François Jacob,male,Physiology or Medicine,1920.0,45.0,France,1965
271,François Mauriac,male,Literature,1885.0,67.0,France,1952
272,Françoise Barré-Sinoussi,female,Physiology or Medicine,1947.0,61.0,France,2008
273,Frank Billings Kellogg,male,Peace,1856.0,73.0,USA,1929
274,Frank Wilczek,male,Physics,1951.0,53.0,USA,2004
275,Frans Eemil Sillanpää,male,Literature,1888.0,51.0,Finland,1939
276,Frédéric Joliot,male,Chemistry,1900.0,35.0,France,1935
277,Frédéric Mistral,male,Literature,1830.0,74.0,France,1904
278,Frédéric Passy,male,Peace,1822.0,79.0,France,1901
279,Frederick Chapman Robbins,male,Physiology or Medicine,1916.0,38.0,USA,1954
280,Frederick Grant Banting,male,Physiology or Medicine,1891.0,32.0,Canada,1923
281,Frederick Reines,male,Physics,1918.0,77.0,USA,1995
282,Frederick Sanger,male,Chemistry,1918.0,40.0,United Kingdom,1958
283,Frederick Sanger,male,Chemistry,1918.0,62.0,United Kingdom,1980
284,Frederick Soddy,male,Chemistry,1877.0,44.0,United Kingdom,1921
285,Fredrik Bajer,male,Peace,1837.0,71.0,Denmark,1908
286,Fridtjof Nansen,male,Peace,1861.0,61.0,Norway,1922
287,Friedrich Bergius,male,Chemistry,1884.0,47.0,Poland,1931
288,Friedrich August von Hayek,male,Economic Sciences,1899.0,75.0,Austria,1974
290,Frits Zernike,male,Physics,1888.0,65.0,the Netherlands,1953
291,Fritz Haber,male,Chemistry,1868.0,50.0,Poland,1918
292,Fritz Albert Lipmann,male,Physiology or Medicine,1899.0,54.0,Russia,1953
293,Fritz Pregl,male,Chemistry,1869.0,54.0,Slovenia,1923
294,Gabriel García Márquez,male,Literature,1927.0,55.0,Colombia,1982
295,Gabriel Lippmann,male,Physics,1845.0,63.0,Luxembourg,1908
296,Gabriela Mistral,female,Literature,1889.0,56.0,Chile,1945
297,Gao Xingjian,male,Literature,1940.0,60.0,China,2000
298,Gary S. Becker,male,Economic Sciences,1930.0,62.0,USA,1992
299,Geoffrey Wilkinson,male,Chemistry,1921.0,52.0,United Kingdom,1973
300,Georg von Békésy,male,Physiology or Medicine,1899.0,62.0,Hungary,1961
301,Georg Wittig,male,Chemistry,1897.0,82.0,Germany,1979
302,George A. Akerlof,male,Economic Sciences,1940.0,61.0,USA,2001
303,George A. Olah,male,Chemistry,1927.0,67.0,Hungary,1994
304,George Wells Beadle,male,Physiology or Medicine,1903.0,55.0,USA,1958
305,George Bernard Shaw,male,Literature,1856.0,69.0,Ireland,1925
306,George Catlett Marshall,male,Peace,1880.0,73.0,USA,1953
307,George D. Snell,male,Physiology or Medicine,1903.0,77.0,USA,1980
308,George de Hevesy,male,Chemistry,1885.0,58.0,Hungary,1943
309,George E. Palade,male,Physiology or Medicine,1912.0,62.0,Romania,1974
310,George E. Smith,male,Physics,1930.0,79.0,USA,2009
311,George F. Smoot,male,Physics,1945.0,61.0,USA,2006
312,George H. Hitchings,male,Physiology or Medicine,1905.0,83.0,USA,1988
313,George Hoyt Whipple,male,Physiology or Medicine,1878.0,56.0,USA,1934
314,George J. Stigler,male,Economic Sciences,1911.0,71.0,USA,1982
315,George P. Smith,male,Chemistry,1941.0,77.0,USA,2018
316,George Paget Thomson,male,Physics,1892.0,45.0,United Kingdom,1937
317,George Porter,male,Chemistry,1920.0,47.0,United Kingdom,1967
318,George Richards Minot,male,Physiology or Medicine,1885.0,49.0,USA,1934
319,George Wald,male,Physiology or Medicine,1906.0,61.0,USA,1967
320,Georges Charpak,male,Physics,1924.0,68.0,Poland,1992
321,Georges J.F. Köhler,male,Physiology or Medicine,1946.0,38.0,Germany,1984
322,Georges Pire,male,Peace,1910.0,48.0,Belgium,1958
323,Gerald M. Edelman,male,Physiology or Medicine,1929.0,43.0,USA,1972
324,Gerard Debreu,male,Economic Sciences,1921.0,62.0,France,1983
325,Gérard Mourou,male,Physics,1944.0,74.0,France,2018
326,Gerardus 't Hooft,male,Physics,1946.0,53.0,the Netherlands,1999
327,Gerd Binnig,male,Physics,1947.0,39.0,Germany,1986
328,Gerhard Domagk,male,Physiology or Medicine,1895.0,44.0,Poland,1939
329,Gerhard Ertl,male,Chemistry,1936.0,71.0,Germany,2007
330,Gerhard Herzberg,male,Chemistry,1904.0,67.0,Germany,1971
331,Gerhart Johann Robert Hauptmann,male,Literature,1862.0,50.0,Poland,1912
332,Gertrude B. Elion,female,Physiology or Medicine,1918.0,70.0,USA,1988
333,"Gerty Theresa Cori, née Radnitz",female,Physiology or Medicine,1896.0,51.0,Czech Republic,1947
334,Giorgio Parisi,male,Physics,1948.0,73.0,Italy,2021
335,Giorgos Seferis,male,Literature,1900.0,63.0,Turkey,1963
336,Giosuè Carducci,male,Literature,1835.0,71.0,Italy,1906
337,Giulio Natta,male,Chemistry,1903.0,60.0,Italy,1963
338,Glenn Theodore Seaborg,male,Chemistry,1912.0,39.0,USA,1951
339,Godfrey N. Hounsfield,male,Physiology or Medicine,1919.0,60.0,United Kingdom,1979
341,Grazia Deledda,female,Literature,1871.0,55.0,Italy,1926
342,Gregg L. Semenza,male,Physiology or Medicine,1956.0,63.0,USA,2019
343,Guglielmo Marconi,male,Physics,1874.0,35.0,Italy,1909
344,Guido W. Imbens,male,Economic Sciences,1963.0,58.0,the Netherlands,2021
345,Gunnar Myrdal,male,Economic Sciences,1898.0,76.0,Sweden,1974
346,Günter Blobel,male,Physiology or Medicine,1936.0,63.0,Poland,1999
347,Günter Grass,male,Literature,1927.0,72.0,Poland,1999
348,Nils Gustaf Dalén,male,Physics,1869.0,43.0,Sweden,1912
349,Gustav Ludwig Hertz,male,Physics,1887.0,38.0,Germany,1925
350,Gustav Stresemann,male,Peace,1878.0,48.0,Germany,1926
351,H. David Politzer,male,Physics,1949.0,55.0,USA,2004
352,Har Gobind Khorana,male,Physiology or Medicine,1922.0,46.0,India,1968
353,H. Robert Horvitz,male,Physiology or Medicine,1947.0,55.0,USA,2002
354,Halldór Kiljan Laxness,male,Literature,1902.0,53.0,Iceland,1955
355,Hamilton O. Smith,male,Physiology or Medicine,1931.0,47.0,USA,1978
356,Hannes Olof Gösta Alfvén,male,Physics,1908.0,62.0,Sweden,1970
357,Hans Albrecht Bethe,male,Physics,1906.0,61.0,France,1967
358,Hans Fischer,male,Chemistry,1881.0,49.0,Germany,1930
359,Hans G. Dehmelt,male,Physics,1922.0,67.0,Germany,1989
360,Hans Adolf Krebs,male,Physiology or Medicine,1900.0,53.0,Germany,1953
361,Hans Spemann,male,Physiology or Medicine,1869.0,66.0,Germany,1935
362,Hans Karl August Simon von Euler-Chelpin,male,Chemistry,1873.0,56.0,Germany,1929
363,Harald zur Hausen,male,Physiology or Medicine,1936.0,72.0,Germany,2008
364,Harold Clayton Urey,male,Chemistry,1893.0,41.0,USA,1934
365,Harold E. Varmus,male,Physiology or Medicine,1939.0,50.0,USA,1989
366,Harold Pinter,male,Literature,1930.0,75.0,United Kingdom,2005
367,Harry M. Markowitz,male,Economic Sciences,1927.0,63.0,USA,1990
368,Harry Martinson,male,Literature,1904.0,70.0,Sweden,1974
369,Hartmut Michel,male,Chemistry,1948.0,40.0,Germany,1988
370,Harvey J. Alter,male,Physiology or Medicine,1935.0,85.0,USA,2020
371,Heike Kamerlingh Onnes,male,Physics,1853.0,60.0,the Netherlands,1913
372,Heinrich Böll,male,Literature,1917.0,55.0,Germany,1972
373,Heinrich Rohrer,male,Physics,1933.0,53.0,Switzerland,1986
374,Heinrich Otto Wieland,male,Chemistry,1877.0,50.0,Germany,1927
375,Hendrik Antoon Lorentz,male,Physics,1853.0,49.0,the Netherlands,1902
376,Antoine Henri Becquerel,male,Physics,1852.0,51.0,France,1903
377,Henri Bergson,male,Literature,1859.0,68.0,France,1927
378,Henri La Fontaine,male,Peace,1854.0,59.0,Belgium,1913
379,Henri Moissan,male,Chemistry,1852.0,54.0,France,1906
